,0,1,2,3,4,5,6
0,0.035,0.033,0.033,0.033,0.033,0.033,0.033
1,0.035,0.033,0.033,0.033,0.033,0.033,0.033
2,0.035,0.033,0.033,0.033,0.033,0.033,0.033
3,0.035,0.033,0.033,0.035,0.033,0.033,0.033
4,0.035,0.033,0.033,0.033,0.033,0.033,0.033
5,0.104,0.033,0.033,0.033,0.033,0.033,0.033
6,0.037,0.033,0.033,0.033,0.033,0.035,0.033
7,0.037,0.033,0.14,0.035,0.14,0.035,0.033
8,0.205,0.23,0.17,0.14,0.17,0.035,0.033
9,0.214,0.206,0.141,0.144,0.172,0.037,0.035
10,0.205,0.206,0.14,0.177,0.172,0.039,0.037
11,0.214,0.206,0.14,0.186,0.14,0.035,0.033
12,0.214,0.23,0.14,0.144,0.172,0.035,0.033
13,0.205,0.23,0.144,0.144,0.172,0.035,0.033
14,0.214,0.23,0.14,0.14,0.179,0.035,0.033
15,0.214,0.232,0.14,0.177,0.172,0.035,0.033
16,0.214,0.206,0.144,0.177,0.172,0.035,0.033
17,0.214,0.23,0.14,0.144,0.17,0.035,0.033
18,0.204,0.105,0.033,0.035,0.033,0.033,0.033
19,0.035,0.033,0.033,0.033,0.033,0.033,0.1
20,0.035,0.033,0.033,0.033,0.033,0.033,0.033
21,0.035,0.033,0.033,0.033,0.033,0.033,0.033
22,0.035,0.033,0.033,0.033,0.033,0.033,0.033
23,0.035,0.033,0.033,0.033,0.033,0.033,0.033
