,0,1,2,3,4,5,6
0,0.035,0.033,0.033,0.033,0.033,0.033,0.033
1,0.035,0.033,0.033,0.033,0.033,0.033,0.033
2,0.035,0.033,0.033,0.033,0.033,0.033,0.033
3,0.035,0.033,0.033,0.033,0.033,0.033,0.033
4,0.035,0.033,0.033,0.033,0.033,0.033,0.033
5,0.319,0.033,0.033,0.033,0.033,0.033,0.033
6,0.035,0.033,0.033,0.21,0.033,0.033,0.033
7,0.035,0.033,0.033,0.033,0.033,0.033,0.033
8,0.203,0.273,0.033,0.203,0.203,0.042,0.033
9,0.292,0.39,0.284,0.272,0.203,0.042,0.035
10,0.292,0.356,0.272,0.284,0.203,0.04,0.037
11,0.319,0.39,0.284,0.272,0.206,0.042,0.033
12,0.319,0.39,0.272,0.284,0.203,0.042,0.033
13,0.309,0.39,0.221,0.284,0.203,0.042,0.033
14,0.309,0.39,0.221,0.284,0.166,0.042,0.033
15,0.292,0.393,0.221,0.286,0.203,0.04,0.033
16,0.309,0.39,0.21,0.284,0.203,0.042,0.033
17,0.309,0.356,0.21,0.272,0.166,0.042,0.033
18,0.307,0.286,0.033,0.033,0.033,0.033,0.033
19,0.035,0.203,0.033,0.033,0.033,0.033,0.033
20,0.035,0.033,0.033,0.033,0.033,0.033,0.033
21,0.035,0.033,0.033,0.033,0.033,0.033,0.033
22,0.035,0.033,0.033,0.033,0.033,0.033,0.033
23,0.035,0.033,0.033,0.033,0.033,0.033,0.033
