,cluster,week,day,hour,minute,wk_ago,day_ago,target
358,0,33,4,16,40,10,30,10
359,0,33,4,16,50,10,20,10
750,0,34,0,10,0,10,20,50
751,0,34,0,10,10,10,20,30
752,0,34,0,10,20,20,10,100
753,0,34,0,10,30,20,10,50
754,0,34,0,10,40,20,20,30
755,0,34,0,10,50,10,20,60
756,0,34,0,11,0,60,30,60
757,0,34,0,11,10,50,30,70
758,0,34,0,11,20,80,20,100
759,0,34,0,11,30,30,30,60
760,0,34,0,11,40,70,30,50
761,0,34,0,11,50,60,50,50
762,0,34,0,12,0,50,20,50
763,0,34,0,12,10,50,10,20
764,0,34,0,12,20,10,20,40
765,0,34,0,12,30,0,10,20
766,0,34,0,12,40,10,20,50
767,0,34,0,12,50,0,30,30
768,0,34,0,13,0,20,20,50
769,0,34,0,13,10,10,10,50
770,0,34,0,13,20,20,10,50
771,0,34,0,13,30,20,30,50
772,0,34,0,13,40,10,50,80
773,0,34,0,13,50,20,30,80
774,0,34,0,14,0,10,10,80
775,0,34,0,14,10,50,20,80
776,0,34,0,14,20,50,10,50
777,0,34,0,14,30,30,30,50
778,0,34,0,14,40,10,30,50
779,0,34,0,14,50,20,30,60
780,0,34,0,15,0,20,30,50
781,0,34,0,15,10,10,10,30
782,0,34,0,15,20,20,20,20
783,0,34,0,15,30,30,20,30
784,0,34,0,15,40,30,30,30
785,0,34,0,15,50,30,20,20
786,0,34,0,16,0,50,50,30
787,0,34,0,16,10,30,30,40
788,0,34,0,16,20,20,20,20
789,0,34,0,16,30,60,10,10
790,0,34,0,16,40,20,10,20
791,0,34,0,16,50,30,10,0
894,0,34,1,10,0,50,50,70
895,0,34,1,10,10,20,30,50
896,0,34,1,10,20,60,100,50
897,0,34,1,10,30,50,50,50
898,0,34,1,10,40,20,30,60
899,0,34,1,10,50,20,60,70
900,0,34,1,11,0,30,60,50
901,0,34,1,11,10,30,70,20
902,0,34,1,11,20,10,100,30
903,0,34,1,11,30,0,60,30
904,0,34,1,11,40,10,50,20
905,0,34,1,11,50,10,50,20
906,0,34,1,12,0,20,50,10
907,0,34,1,12,10,10,20,10
908,0,34,1,12,20,10,40,30
909,0,34,1,12,30,20,20,30
910,0,34,1,12,40,30,50,30
911,0,34,1,12,50,20,30,60
912,0,34,1,13,0,30,50,20
913,0,34,1,13,10,30,50,20
914,0,34,1,13,20,50,50,20
915,0,34,1,13,30,30,50,20
916,0,34,1,13,40,30,80,20
917,0,34,1,13,50,50,80,10
918,0,34,1,14,0,30,80,20
919,0,34,1,14,10,30,80,20
920,0,34,1,14,20,20,50,20
921,0,34,1,14,30,50,50,30
922,0,34,1,14,40,20,50,50
923,0,34,1,14,50,30,60,50
924,0,34,1,15,0,30,50,20
925,0,34,1,15,10,30,30,60
926,0,34,1,15,20,30,20,70
927,0,34,1,15,30,40,30,70
928,0,34,1,15,40,10,30,60
929,0,34,1,15,50,10,20,50
930,0,34,1,16,0,50,30,60
931,0,34,1,16,10,20,40,70
932,0,34,1,16,20,10,20,50
933,0,34,1,16,30,10,10,50
934,0,34,1,16,40,20,20,50
935,0,34,1,16,50,0,0,50
1035,0,34,2,10,0,20,70,20
1036,0,34,2,10,10,20,50,10
